City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
130,Ewa Beach,US,2022-07-22 03:18:30,21.3156,-158.0072,87.75,53,0,15.01,clear sky
131,Bredasdorp,ZA,2022-07-22 03:18:31,-34.5322,20.0403,47.14,80,100,4.43,overcast clouds
132,Marzuq,YE,2022-07-22 03:18:31,14.4,46.4667,73.17,68,19,7.85,few clouds
133,Cidreira,BR,2022-07-22 03:18:32,-30.1811,-50.2056,63.16,92,100,2.37,overcast clouds
134,Pangnirtung,CA,2022-07-22 03:18:32,66.1451,-65.7125,43.3,91,29,2.66,scattered clouds
135,Sredniy Ikorets,RU,2022-07-22 03:18:32,51.0675,39.7584,56.46,92,99,7.85,overcast clouds
136,Leningradskiy,RU,2022-07-22 03:18:33,69.3833,178.4167,35.44,99,100,6.31,overcast clouds
137,Arraial Do Cabo,BR,2022-07-22 03:15:55,-22.9661,-42.0278,70.39,86,2,14.94,clear sky
138,Pangody,RU,2022-07-22 03:18:33,65.85,74.4859,45.41,83,100,8.12,overcast clouds
139,Sitka,US,2022-07-22 03:15:29,57.0531,-135.33,55.29,88,100,3.44,light intensity drizzle
140,Hami,CN,2022-07-22 03:18:34,42.8,93.45,84.51,18,0,3.11,clear sky
141,Carutapera,BR,2022-07-22 03:18:34,-1.195,-46.02,74.34,92,31,4.88,scattered clouds
142,Tarakan,ID,2022-07-22 03:18:35,3.3,117.6333,83.7,79,40,4.61,scattered clouds
143,Kaduqli,SD,2022-07-22 03:18:35,11.0167,29.7167,70.32,83,100,3.13,overcast clouds
144,The Valley,AI,2022-07-22 03:16:10,18.217,-63.0578,82.26,77,97,20.4,overcast clouds
145,Hermanus,ZA,2022-07-22 03:18:36,-34.4187,19.2345,52.47,69,100,4.07,overcast clouds
146,Platanos,GR,2022-07-22 03:18:36,37.6667,21.6167,75.56,39,0,5.23,clear sky
147,Iqaluit,CA,2022-07-22 03:18:37,63.7506,-68.5145,40.73,93,20,0.0,few clouds
148,Bengkulu,ID,2022-07-22 03:18:37,-3.8004,102.2655,82.72,71,86,3.67,overcast clouds
149,Lebu,CL,2022-07-22 03:18:37,-37.6167,-73.65,52.09,93,100,13.49,moderate rain
150,Tekeli,KZ,2022-07-22 03:18:38,44.83,78.8239,85.57,21,0,2.39,clear sky
151,Alta Floresta,BR,2022-07-22 03:18:38,-9.8756,-56.0861,70.16,45,0,1.95,clear sky
152,Tigil,RU,2022-07-22 03:18:39,57.8,158.6667,75.49,40,5,11.81,clear sky
153,Yakeshi,CN,2022-07-22 03:18:39,49.2833,120.7333,82.06,48,4,5.28,clear sky
154,Saint George,US,2022-07-22 03:18:40,37.1041,-113.5841,103.95,13,0,9.22,clear sky
155,Padang,ID,2022-07-22 03:18:40,-0.9492,100.3543,84.25,67,88,1.99,overcast clouds
156,Norman Wells,CA,2022-07-22 03:18:40,65.282,-126.8329,69.84,78,75,4.61,broken clouds
157,Namibe,AO,2022-07-22 03:18:41,-15.1961,12.1522,61.09,90,0,5.14,clear sky
158,Hualmay,PE,2022-07-22 03:18:41,-11.0964,-77.6139,61.18,83,7,12.06,clear sky
159,Sakakah,SA,2022-07-22 03:18:41,29.9697,40.2064,83.77,21,0,6.55,clear sky
160,Itoman,JP,2022-07-22 03:18:42,26.1247,127.6694,91.78,76,20,11.5,few clouds
161,Ust-Omchug,RU,2022-07-22 03:18:42,61.15,149.6333,69.49,56,61,5.66,broken clouds
162,Itarema,BR,2022-07-22 03:18:43,-2.9248,-39.9167,77.22,78,62,13.18,broken clouds
163,Port Hedland,AU,2022-07-22 03:18:43,-20.3167,118.5667,82.45,47,2,5.75,clear sky
164,Gimli,CA,2022-07-22 03:18:44,50.6336,-96.9907,65.44,79,56,13.11,broken clouds
165,Lumeje,AO,2022-07-22 03:18:44,-11.55,20.7833,61.12,45,84,5.48,broken clouds
166,Hasaki,JP,2022-07-22 03:18:45,35.7333,140.8333,88.29,83,14,19.73,moderate rain
167,Dukat,RU,2022-07-22 03:18:45,62.55,155.55,59.94,40,2,10.31,clear sky
168,Tra Vinh,VN,2022-07-22 03:18:45,9.9347,106.3453,85.75,63,35,3.91,scattered clouds
169,Buta,CD,2022-07-22 03:18:46,2.7858,24.73,69.73,99,100,2.42,overcast clouds
170,Vestmanna,FO,2022-07-22 03:18:46,62.1564,-7.1664,45.52,100,75,0.0,broken clouds
171,Tuatapere,NZ,2022-07-22 03:18:47,-46.1333,167.6833,44.37,91,100,2.84,overcast clouds
172,Rio Grande,BR,2022-07-22 03:18:47,-32.035,-52.0986,58.95,99,100,5.23,light rain
173,San Lorenzo,PY,2022-07-22 03:18:48,-25.3333,-57.5333,76.59,57,0,7.0,clear sky
174,Ninh Binh,VN,2022-07-22 03:15:38,20.2539,105.975,86.22,71,100,3.36,overcast clouds
175,Mandalgovi,MN,2022-07-22 03:18:48,45.7625,106.2708,65.97,39,38,24.32,scattered clouds
176,Isla Mujeres,MX,2022-07-22 03:18:49,21.2311,-86.731,84.25,79,33,11.16,scattered clouds
177,Kahului,US,2022-07-22 03:18:49,20.8947,-156.47,84.22,67,0,26.46,clear sky
178,Rolla,US,2022-07-22 03:18:49,37.9514,-91.7713,81.01,60,0,4.61,clear sky
179,Launceston,AU,2022-07-22 03:15:57,-41.45,147.1667,58.15,64,40,14.97,scattered clouds
180,Kabalo,CD,2022-07-22 03:18:50,-6.05,26.9167,71.38,52,2,3.96,clear sky
181,Sarahan,IN,2022-07-22 03:18:50,31.5167,77.8,69.42,80,99,4.03,overcast clouds
182,Gazanjyk,TM,2022-07-22 03:18:51,39.2446,55.5154,83.64,54,0,11.83,clear sky
183,Chara,RU,2022-07-22 03:18:51,56.9064,118.2631,71.24,70,99,1.03,overcast clouds
184,Marsaxlokk,MT,2022-07-22 03:18:52,35.8419,14.5431,79.09,78,0,3.44,clear sky
185,Nelson Bay,AU,2022-07-22 03:18:52,-32.7167,152.15,64.99,75,70,15.99,broken clouds
186,Luderitz,NA,2022-07-22 03:18:53,-26.6481,15.1594,59.56,60,0,9.01,clear sky
187,Bluff,NZ,2022-07-22 03:18:53,-46.6,168.3333,44.8,71,98,8.16,overcast clouds
188,Sorong,ID,2022-07-22 03:18:53,-0.8833,131.25,82.33,78,44,15.73,scattered clouds
189,Maracas,BR,2022-07-22 03:18:01,-13.4411,-40.4308,55.36,96,29,3.65,scattered clouds
190,Fairbanks,US,2022-07-22 03:18:00,64.8378,-147.7164,66.54,58,75,6.91,light rain
191,Russell,US,2022-07-22 03:15:48,32.3502,-85.1999,74.48,94,20,5.75,few clouds
192,Chimoio,MZ,2022-07-22 03:18:54,-19.1164,33.4833,58.86,94,100,3.15,overcast clouds
193,Ambilobe,MG,2022-07-22 03:18:54,-13.2,49.05,64.27,72,1,4.65,clear sky
194,Coquimbo,CL,2022-07-22 03:18:55,-29.9533,-71.3436,55.13,76,100,0.0,overcast clouds
195,Yatou,CN,2022-07-22 03:18:55,37.15,122.3833,80.64,68,13,9.37,few clouds
196,Chokurdakh,RU,2022-07-22 03:18:56,70.6333,147.9167,61.5,26,84,6.64,broken clouds
197,Sawakin,SD,2022-07-22 03:18:56,19.1059,37.3321,89.58,48,11,6.58,few clouds
198,Nardaran,AZ,2022-07-22 03:18:57,40.5561,50.0056,78.44,69,0,23.02,clear sky
199,Rocha,UY,2022-07-22 03:18:57,-34.4833,-54.3333,46.49,94,100,2.82,overcast clouds
200,Cabo San Lucas,MX,2022-07-22 03:18:57,22.8909,-109.9124,91.62,53,3,4.0,clear sky
