City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
454,Naze,JP,86.92,scattered clouds,28.3667,129.4833,Shishime Hotel
458,Kadoma,JP,89.6,broken clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
460,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
462,Muli,MV,82.44,light rain,2.9167,73.5667,Medhufushi Island Resort
463,Bandarbeyla,SO,76.95,scattered clouds,9.4942,50.8122,JABIR HOTEL
464,Marsh Harbour,BS,82.8,clear sky,26.5412,-77.0636,Abaco Beach Resort
467,Sri Aman,MY,80.65,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
470,Bonthe,SL,76.28,light rain,7.5264,-12.505,Bonthe Holiday Village
471,Dingle,PH,87.04,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
473,Singkang,MY,82.94,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
475,Gigmoto,PH,87.49,overcast clouds,13.7796,124.39,Cj's Travellers Inn
481,Puerto Madero,MX,75.4,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
484,Balkanabat,TM,84.42,clear sky,39.5108,54.3671,Nebitchi Hotel
487,Zhanaozen,KZ,85.23,few clouds,43.3,52.8,K.korabay 28A
489,Road Town,VG,80.69,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
493,Pasil,PH,83.98,clear sky,17.3833,121.1333,Jerick R maseypan
498,Akyab,MM,83.7,overcast clouds,20.15,92.9,Hotel Memory
499,Nabire,ID,84.49,few clouds,-3.3667,135.4833,Hotel Nusantara I
501,Acarau,BR,76.91,broken clouds,-2.8856,-40.12,castelo pizzaria
506,Albufeira,PT,75.04,clear sky,37.0882,-8.2503,Grande Real Santa Eulalia Resort & Hotel Spa
510,Voh,NC,82.13,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
513,Tomatlan,MX,80.83,broken clouds,19.9333,-105.25,El Salvial
514,Churapcha,RU,80.73,broken clouds,62.0025,132.4325,"""Tusku"""
516,Ahmadpur Sial,PK,84.56,moderate rain,30.6754,71.7483,M aqeel dhoobi
519,Port Blair,IN,84.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
520,Northport,US,75.13,few clouds,33.229,-87.5772,Hotel Capstone
521,Montelibano,CO,76.05,overcast clouds,7.9829,-75.4229,Montelíbano Plaza Hotel
524,Aden,YE,81.46,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
528,Simga,IN,82.38,overcast clouds,21.6333,81.7,OM Hotel & Sweet
531,Enshi,CN,86.23,overcast clouds,30.3,109.4833,Moevenpick Enshi
532,Chengde,CN,86.76,broken clouds,40.9725,117.9361,Super 8 Hotel
533,Bubaque,GW,78.57,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
536,Champerico,GT,81.66,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
541,Deogarh,IN,82.63,overcast clouds,21.5333,84.7333,Amit Henej House
548,Cadiz,ES,75.13,few clouds,36.5,-5.75,Hacienda Barriche
549,Analipsis,GR,79.11,clear sky,35.3167,25.5667,Castello Village Resort
550,Susanville,US,84.09,clear sky,40.4163,-120.653,Comfort Inn & Suites
551,Poquoson,US,78.98,scattered clouds,37.1224,-76.3458,Whitehouse Cove
554,Peleduy,RU,78.4,overcast clouds,59.6289,112.7406,Гостиница «Уют»
557,Awbari,LY,76.98,clear sky,26.5921,12.7805,فندق أوباري
564,Carbonia,IT,75.0,clear sky,39.1672,8.5222,Lu 'Hotel
568,Kapoeta,SS,75.69,broken clouds,4.7717,33.5903,Eastgate Hotel
569,Ca Mau,VN,87.24,scattered clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
570,Bridgetown,BB,82.89,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
573,Manicore,BR,75.15,clear sky,-5.8092,-61.3003,Hotel Durval
577,Kudahuvadhoo,MV,81.05,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
581,Ramnagar,IN,80.51,overcast clouds,29.4,79.1167,Leisure Vacation Myrica Hotel
590,Auki,SB,86.97,broken clouds,-8.7676,160.7034,Auki Motel
592,Cesme,TR,76.71,clear sky,38.3228,26.3064,Ilıca Hotel Spa & Wellness Thermal Resort
593,Mastung,PK,78.62,broken clouds,29.7994,66.845,Al Hasnan Cold Drink Santer
